Census 2000 PHC-T-33.  Earnings Distribution of U.S.Year-Round Full-Time Workers by Occupation and Sex: 2013,,,,
"Table 1. Full-Time, Year-Round Workers and Median Earnings in the Past 12 Months by Sex and Detailed Occupation1: 20132",,,,
"Full-time, year-round civilian employed 16 years and older (estimates) and full-time, year-round civilian employed 16 years and older with earnings (medians)",,,,
"Source: U.S. Census Bureau, 2013 American Community Survey (modified to conform to 1999 SOC codes) Internet release date: 03/16/2015",,,,
"(Data based on a sample. For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/prod/cen2000/docs/sf3.pdf.)",,,,
Occupation,SOC Codes,Number of YRFT workers,Female,Male
….Chief executives,11-1011,"1,024,259","782,400","241,859"
....General and operations managers,11-1021,"977,284","681,627","295,657"
....Legislators,11-1031,"14,815","8,375","6,440"
....Advertising and promotions managers,Nov-11,"43,015","17,775","25,240"
....Marketing and sales managers,Nov-20,"754,514","440,078","314,436"
....Public relations and fundraising managers,Nov-31,"44,198","16,141","28,057"
....Administrative services managers,Nov-11,"109,703","72,873","36,830"
....Computer and information systems managers,Nov-21,"489,048","354,369","134,679"
....Financial managers,Nov-31,"990,611","460,842","529,769"
....Human resources managers,Nov-40,"307,004","125,240","181,764"
....Industrial production managers,Nov-51,"218,198","177,200","40,998"
....Purchasing managers,Nov-61,"175,540","96,499","79,041"
"....Transportation, storage, and distribution managers",11-1011,"185,512","151,841","33,671"
"....Farmers, ranchers, and other agricultural managers",11-1021,"499,775","446,121","53,654"
....Construction managers,11-1031,"469,706","434,849","34,857"
....Education administrators,Nov-11,"708,239","272,330","435,909"
....Architectural and engineering managers,Nov-20,"132,575","120,777","11,798"
....Food service managers,Nov-31,"740,359","407,357","333,002"
....Funeral service managers,Nov-11,"5,439","4,421","1,018"
....Gaming managers,Nov-21,"17,294","10,632","6,662"
....Lodging managers,Nov-31,"96,419","47,382","49,037"
....Medical and health services managers,Nov-40,"546,042","171,661","374,381"
....Natural sciences managers,Nov-51,"16,766","8,633","8,133"
....Postmasters and mail superintendents,Nov-61,"28,282","12,394","15,888"
"....Property, real estate, and community association managers",Nov-31,"414,232","203,818","210,414"
....Social and community service managers,Nov-41,"279,952","96,503","183,449"
"....Managers, all other",Nov-51,"3,034,121","2,056,582","977,539"
"….Agents and business managers of artists, performers, and athletes",13-1011,"28,413","17,494","10,919"
"….Buyers and purchasing agents, farm products",13-1021,"7,184","5,882","1,302"
"….Wholesale and retail buyers, except farm products",13-1022,"170,412","86,522","83,890"
"….Purchasing agents, except wholesale, retail, and farm products",13-1023,"220,927","107,988","112,939"
"….Claims adjusters, appraisers, examiners, and investigators",13-1030,"257,730","98,587","159,143"
….Compliance officers,13-1041,"193,020","95,524","97,496"
….Cost estimators,13-1051,"105,744","91,484","14,260"
….Human resources workers,13-1070,"571,108","158,154","412,954"
….Logisticians,13-1081,"97,563","63,756","33,807"
….Management analysts,13-1111,"589,692","346,499","243,193"
"….Meeting, convention, and event planners",13-1121,"78,856","15,208","63,648"
"….Business operations specialists, all other",13-1161 & 13-1199,"211,970","98,399","113,571"
….Accountants and auditors,13-2011,"1,651,199","683,411","967,788"
….Appraisers and assessors of real estate,13-2021,"75,414","49,592","25,822"
….Budget analysts,13-2031,"41,799","14,880","26,919"
….Credit analysts,13-2041,"23,011","9,607","13,404"
….Financial analysts,13-2051,"65,367","44,484","20,883"
….Personal financial advisors,13-2052,"283,136","196,273","86,863"
….Insurance underwriters,13-2053,"94,336","33,432","60,904"
….Financial examiners,13-2061,"10,413","5,134","5,279"
….Credit counselors and loan officers,13-2070,"285,649","130,778","154,871"
"….Tax examiners and collectors, and revenue agents",13-2081,"50,960","17,617","33,343"
….Tax preparers,13-2082,"51,485","24,538","26,947"
"….Financial specialists, all other",13-2099,"58,785","26,520","32,265"
….Computer systems analysts,"15-1011, 15-1051, & 15-1099","441,538","280,626","160,912"
….Computer programmers,15-1021,"374,314","298,175","76,139"
"….Software developers, applications and systems software",15-1030,"924,888","741,308","183,580"
….Computer support specialists,15-1041,"458,736","339,470","119,266"
….Database administrators,15-1061,"101,323","61,969","39,354"
….Network and computer systems administrators,15-1071,"195,372","160,376","34,996"
….Computer network architects ,15-1081,"91,709","84,233","7,476"
….Actuaries,15-2011,"23,200","16,642","6,558"
….Mathematicians,15-2021,"1,933","1,603",330
….Operations research analysts,15-2031,"123,636","65,206","58,430"
….Statisticians,15-2041,"31,319","16,117","15,202"
….Miscellaneous mathematical science occupations,15-2090,"3,686","1,974","1,712"
"….Architects, except naval",17-1010,"145,439","114,341","31,098"
"….Surveyors, cartographers, and photogrammetrists",17-1020,"31,315","24,924","6,391"
….Aerospace engineers,17-2011,"117,942","105,914","12,028"
….Agricultural engineers,17-2021,"2,952","2,425",527
….Biomedical engineers,17-2031,"12,371","10,765","1,606"
….Chemical engineers,17-2041,"53,119","45,725","7,394"
….Civil engineers,17-2051,"257,802","228,722","29,080"
….Computer hardware engineers,17-2061,"51,453","44,773","6,680"
….Electrical and electronics engineers,17-2070,"180,122","163,656","16,466"
….Environmental engineers,17-2081,"25,988","19,105","6,883"
"….Industrial engineers, including health and safety",17-2110,"172,367","136,669","35,698"
….Marine engineers and naval architects,17-2121,"11,147","10,288",859
….Materials engineers,17-2131,"27,975","23,360","4,615"
….Mechanical engineers,17-2141,"206,515","191,858","14,657"
"….Mining and geological engineers, including mining safety engineers",17-2151,"8,430","7,886",544
….Nuclear engineers,17-2161,"4,813","4,205",608
….Petroleum engineers,17-2171,"23,225","20,619","2,606"
"….Engineers, all other",17-2199,"439,749","388,864","50,885"
….Drafters,17-3010,"124,267","102,941","21,326"
"….Engineering technicians, except drafters",17-3020,"371,566","307,644","63,922"
….Surveying and mapping technicians,17-3031,"45,449","40,811","4,638"
….Agricultural and food scientists,19-1010,"22,154","15,764","6,390"
….Biological scientists,19-1020,"60,924","31,860","29,064"
….Conservation scientists and foresters,19-1030,"20,271","15,850","4,421"
….Medical scientists,19-1040,"112,826","53,210","59,616"
….Astronomers and physicists,19-2010,"9,359","7,563","1,796"
….Atmospheric and space scientists,19-2021,"10,661","8,657","2,004"
….Chemists and materials scientists,19-2030,"71,161","42,953","28,208"
….Environmental scientists and geoscientists,19-2040,"65,341","45,052","20,289"
"….Physical scientists, all other",19-2099,"171,530","106,686","64,844"
….Economists,19-3011,"20,957","14,810","6,147"
….Survey researchers,19-3020,836,358,478
….Psychologists,19-3030,"115,139","37,071","78,068"
….Urban and regional planners,19-3051,"17,145","10,824","6,321"
"….Miscellaneous social scientists and related workers, including sociologists",19-3090,"32,080","15,884","16,196"
….Agricultural and food science technicians,19-4011,"24,559","15,509","9,050"
….Biological technicians,19-4021,"13,985","8,785","5,200"
….Chemical technicians,19-4031,"51,689","34,926","16,763"
….Geological and petroleum technicians,19-4041,"16,156","11,467","4,689"
….Nuclear technicians,19-4051,"3,722","3,265",457
….Social science research assistants,19-4061 & 19-4090,"4,333","2,950","1,383"
"….Miscellaneous life, physical, and social science technicians",21-1090,"100,831","55,051","45,780"
….Counselors,21-1010,"482,328","146,849","335,479"
….Social workers,21-1020,"627,085","124,774","502,311"
….Clergy,21-2011,"339,774","289,076","50,698"
"….Directors, religious activities and education",21-2021,"34,970","16,961","18,009"
"….Religious workers, all other",21-2099,"41,694","19,827","21,867"
….Lawyers,23-1011,"852,860","568,201","284,659"
"….Judges, magistrates, and other judicial workers",23-1020,"55,881","32,209","23,672"
….Paralegals and legal assistants,23-2011,"307,815","45,422","262,393"
….Miscellaneous legal support workers,23-2090,"148,521","40,412","108,109"
….Postsecondary teachers,25-1000,"836,986","457,786","379,200"
….Preschool and kindergarten teachers,25-2010,"316,025","8,298","307,727"
….Elementary and middle school teachers,25-2020,"2,282,888","503,434","1,779,454"
….Secondary school teachers,25-2030,"541,598","240,315","301,283"
….Special education teachers,25-2040,"165,928","25,578","140,350"
….Other teachers and instructors,25-3000,"359,794","169,655","190,139"
"….Archivists, curators, and museum technicians",25-4010,"31,925","13,316","18,609"
….Librarians,25-4021,"111,952","19,727","92,225"
….Library technicians,25-4031,"16,163","3,583","12,580"
….Teacher assistants,25-9041,"371,321","44,030","327,291"
"….Other education, training, and library workers","25-9011, 25-9021, 25-9031, & 25-9099","88,624","26,398","62,226"
….Artists and related workers,27-1010,"116,825","75,425","41,400"
….Designers,27-1020,"552,419","303,391","249,028"
….Actors,27-2011,"12,456","8,445","4,011"
….Producers and directors,27-2012,"117,967","73,980","43,987"
"….Athletes, coaches, umpires, and related workers",27-2020,"114,456","83,451","31,005"
….Dancers and choreographers,27-2030,"5,424","1,239","4,185"
"….Musicians, singers, and related workers",27-2040,"60,370","48,227","12,143"
"….Entertainers and performers, sports and related workers, all other",27-2099,"14,230","9,381","4,849"
….Announcers,27-3010,"25,670","20,703","4,967"
